name,link,min_salary,max_salary,currency,employer,source
Водитель-экспедитор,https://hh.ru/vacancy/42242453?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,80 000,110 000,руб.,Деловые Линии,hh.ru
Персональный водитель руководителя,https://hh.ru/vacancy/47712710?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,70 000,руб.,ООО ВСЕ САМ,hh.ru
Водитель на автомобиль компании,https://hh.ru/vacancy/39708662?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,75 000,140 000,руб.,G M A COMPANY,hh.ru
Водитель,https://hh.ru/vacancy/41003141?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,100 000,,руб.,ГрузовичкоФ,hh.ru
Водитель-экспедитор на автомобиль компании,https://hh.ru/vacancy/46092126?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,110 000,руб.,ООО ДАМТРАНС,hh.ru
Водитель с личным автомобилем,https://hh.ru/vacancy/47659150?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,120 000,140 000,руб.,Центр Доставки,hh.ru
Водитель/Курьер на автомобиль компании Дзержинский,https://hh.ru/vacancy/47259089?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,99 000,117 000,руб.,ООО СТРИТ ЛОГИСТИК,hh.ru
Водитель с личным автомобилем,https://hh.ru/vacancy/46115399?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,100 000,150 000,руб.,Далли-сервис,hh.ru
Водитель-экспедитор (вахта),https://hh.ru/vacancy/47713251?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,105 000,руб.,ООО ДАМТРАНС,hh.ru
Водитель-курьер на личном автомобиле,https://hh.ru/vacancy/47397505?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,120 000,руб.,ООО Дио,hh.ru
Курьер-водитель на личном автомобиле,https://hh.ru/vacancy/46707054?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,76 500,100 000,руб.,Pony Express,hh.ru
Водитель с личным грузовым автомобилем до 1.5 тонн,https://hh.ru/vacancy/47719438?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,130 000,150 000,руб.,ООО Газтраснавто,hh.ru
Водитель-курьер с личным автомобилем,https://hh.ru/vacancy/47279803?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,120 000,руб.,"MYSHOP, интернет магазин",hh.ru
Водитель-экспедитор (Москва),https://hh.ru/vacancy/42028662?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,60 000,100 000,руб.,ООО Восток - Запад,hh.ru
Водитель на служебный автомобиль,https://hh.ru/vacancy/44191868?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,45 000,60 000,руб.,IBF Motors,hh.ru
Водитель-экспедитор на своем автомобиле/ на автомобиле компании,https://hh.ru/vacancy/47673402?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,,100 000,руб.,ООО НОВЫЙ ПАРТНЕР,hh.ru
Водитель-курьер на личном автомобиле,https://hh.ru/vacancy/41737702?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,60 000,,руб.,СберЛогистика,hh.ru
Водитель такси,https://hh.ru/vacancy/47715250?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,75 000,120 000,руб.,ASVmotors,hh.ru
Водитель-экспедитор,https://hh.ru/vacancy/41429448?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,75 000,120 000,руб.,Линком Плюс,hh.ru
Водитель-курьер на личном автомобиле,https://hh.ru/vacancy/47677055?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,120 000,руб.,Курьерская служба Классика,hh.ru
Водитель с личным грузовым автомобилем,https://hh.ru/vacancy/47056157?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,190 000,220 000,руб.,ИП Исаев Алексей Сергеевич,hh.ru
Семейный водитель,https://hh.ru/vacancy/47715048?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,75 000,80 000,руб.,"НеоАрт, Группа Компаний",hh.ru
Водитель на автомобиле компании,https://hh.ru/vacancy/47331515?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,110 000,130 000,руб.,ИП Лифарь Станислав Владимирович,hh.ru
Водитель с личным грузовым транспортом,https://hh.ru/vacancy/46884718?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,130 000,300 000,руб.,JCat.ru,hh.ru
Водитель,https://hh.ru/vacancy/47471628?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,100 000,150 000,руб.,Пик-сервис,hh.ru
Водитель,https://hh.ru/vacancy/47378442?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,,руб.,ООО Берт Карго,hh.ru
Водитель категории С (грузовые),https://hh.ru/vacancy/47537248?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,110 000,140 000,руб.,ExpAs,hh.ru
"Водитель на автомобиле компании, Юг Москвы и МО",https://hh.ru/vacancy/45893140?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,120 000,150 000,руб.,ООО СТРИТ ЛОГИСТИК,hh.ru
Водитель-экспедитор,https://hh.ru/vacancy/47604339?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,90 000,120 000,руб.,ООО Гринфилдс-Логистика,hh.ru
Водитель с личным грузовым автомобилем 1-5 тонны,https://hh.ru/vacancy/44187972?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,200 000,350 000,руб.,ООО ДАМТРАНС,hh.ru
Персональный водитель,https://hh.ru/vacancy/47549544?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,75 000,руб.,ООО Просперити,hh.ru
Водитель-мастер,https://hh.ru/vacancy/47552007?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,75 000,75 000,руб.,ООО Московский дворик,hh.ru
Личный водитель,https://hh.ru/vacancy/47711586?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,60 000,60 000,руб.,PR,hh.ru
Водитель семейный,https://hh.ru/vacancy/47677333?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,73 000,79 000,руб.,ООО ЧОП Атлант-Безопасность,hh.ru
Водитель со своим грузовым автомобилем,https://hh.ru/vacancy/47407485?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,120 000,240 000,руб.,ТК СФEРA,hh.ru
Водитель с личным грузовым автомобилем,https://hh.ru/vacancy/47510766?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,120 000,180 000,руб.,МОСПРИВОЗ,hh.ru
Персональный водитель/семейный водитель,https://hh.ru/vacancy/47649140?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,70 000,,руб.,ФС Мебель Шара,hh.ru
Водитель-экспедитор на личном автомобиле,https://hh.ru/vacancy/45922328?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,200 000,250 000,руб.,ООО РегионАвтоТранс,hh.ru
Персональный водитель,https://hh.ru/vacancy/47583571?from=vacancy_search_list&query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,60 000,60 000,руб.,ООО Центр Коммерческой Безопасности,hh.ru
